Country Name,Country Code,Population_2014,Population_2015,Population_2016,Expense_%GDP_2014,Expense_%GDP_2015,Expense_%GDP_2016,ForeignDirectInvestment_NetInflows_BoP_currentUS$_2014,ForeignDirectInvestment_NetInflows_BoP_currentUS$_2015,ForeignDirectInvestment_NetInflows_BoP_currentUS$_2016,GDPgrowth_annual%_2014,GDPgrowth_annual%_2015,GDPgrowth_annual%_2016,Inflation_ConsumerPrices_annual%_2014,Inflation_ConsumerPrices_annual%_2015,Inflation_ConsumerPrices_annual%_2016,Inflation_ConsumerPrices_annual%,ExportsGoodsServices_%GDP_2014,ExportsGoodsServices_%GDP_2015,ExportsGoodsServices_%GDP_2016,GDP_currentUS$_2014,GDP_currentUS$_2015,GDP_currentUS$_2016,GDP_constantUS$_2014,GDP_constantUS$_2015,GDP_constantUS$_2016,ImportsGoodsServices_%GDP_2014,ImportsGoodsServices_%GDP_2015,ImportsGoodsServices_%GDP_2016,Delta,ImportGoodsServices_%GDP,Import_Tot_US $_2014,Import_Tot_US $_2015,Import_Tot_US $_2016,AccessElectricity_%population_2014,AccessElectricity_%population_2015,AccessElectricity_%population_2016,FossilFuelEnergyConsumption_%total_2014,FossilFuelEnergyConsumption_%total_2015,FossilFuelEnergyConsumption_%total_2016,EnergyUse_KgEquivalentPerCapita_2014,EnergyUse_KgEquivalentPerCapita_2015,EnergyUse_KgEquivalentPerCapita_2016,CO2Emissions_kt_2014,CO2Emissions_kt_2015,CO2Emissions_kt_2016,PovertyHeadcountRatio$1.90aday_2011PPP_%population_2014,PovertyHeadcountRatio$1.90aday_2011PPP_%population_2015,PovertyHeadcountRatio$1.90aday_2011PPP_%population_2016,Export_Petroleum_US $_2014,Export_Petroleum_US $_2015,Export_Petroleum_US $_2016,Export_Tot_US $_2014,Export_Tot_US $_2015,Export_Tot_US $_2016,Import_Petroleum_US $_2014,Import_Petroleum_US $_2015,Import_Petroleum_US $_2016,AnnualHouseholdExpenditure_Gas_2010,AnnualHouseholdExpenditure_Electricity_2010,AnnualHouseholdExpenditure_Other fuels_2010,FinalConsumptionExpenditure_currentUS$_2014,FinalConsumptionExpenditure_currentUS$_2015,FinalConsumptionExpenditure_currentUS$_2016,FinalConsumptionExpenditure_constantUS$_2014,FinalConsumptionExpenditure_constantUS$_2015,FinalConsumptionExpenditure_constantUS$_2016,GNI_currentUS$_2014,GNI_currentUS$_2015,GNI_currentUS$_2016,GNI_constantUS$_2014,GNI_constantUS$_2015,GNI_constantUS$_2016,ImportsOfGoodsAndServices_currentUS$_2014,ImportsOfGoodsAndServices_currentUS$_2015,ImportsOfGoodsAndServices_currentUS$_2016,ImportsOfGoodsAndServices_constantUS$_2014,ImportsOfGoodsAndServices_constantUS$_2015,ImportsOfGoodsAndServices_constantUS$_2016,HouseholdsFinalConsumptionExpenditure_currentUS$_2014,HouseholdsFinalConsumptionExpenditure_currentUS$_2015,HouseholdsFinalConsumptionExpenditure_currentUS$_2016,HouseholdsFinalConsumptionExpenditure_currentUS$,HouseholdsConsumption_constantUS$_2014,HouseholdsConsumption_constantUS$_2015,HouseholdsConsumption_constantUS$_2016,Production_Oil_bpd_2014,Production_Oil_bpd_2015,Production_Oil_bpd_2016,Import_Oil_bpd_2014,Import_Oil_bpd_2015,Import_Oil_bpd_2016,Export_Oil_bdp_2014,Export_Oil_bdp_2015,Export_Oil_bdp_2016,Reserves_Oil_2014,Reserves_Oil_2015,Reserves_Oil_2016,,,Manufacured_Export_pc_currenttUS$_2010,Manufacured_Export_pc_currenttUS$_2015,MHMVAsh%_2010,MHMVAsh%_2015,MVAsh%_2010,MVAsh%_2015,Employment_%total_2014,Employment_%total_2015,Employment_%total_2016,Employment_%total_2017,Production_Oil_bdp_2007,Production_Oil_bdp_2008,Production_Oil_bdp_2009,Production_Oil_bdp_2010,Production_Oil_bdp_2011,Production_Oil_bdp_2012,Production_Oil_bdp_2013,Production_Oil_bdp_2014,Production_Oil_bdp_2015,Production_Oil_bdp_2016,Production_Oil_bdp_2017,Production_Oil_bdp_Cumulated,MVApe_constantUS$_2015,MVApc_constantUS$_2010,MVApc_constantUS$_2015,Employment_total_2015,Employment_industry_2015,Skill_Level_high_2015,Skill_Level_medium_2015,Skill_Level_low_2015,Skilled_labour_2015,Employment_industry_high_skilled_2015,Employment_industry_medium_skilled_2015,Employment_industry_skilled_2015
Algeria,DZA,39113313,39871528,40606052,,,,1503453102.19186,-403397081.115475,1637370975.33816,3.7891212117,3.7634669578,3.2999999998,2.916406413,4.784976963,6.397714109,4.6996991617,30.2191174258,23.1864387551,21.001758494,213810022462.428,165874330876.321,159049096745.249,182889354514.369,189772334940.908,196034821993.495,31.9266593379,36.5464586499,35.2702837925,4.619799312,34.5811339267,58618080185,51803071085,47090683586,99.2343444824,99.3367080688,99.4395675659,99.9779167202,,,1321.0994936686,,,145400.217,,,,,,34909376263,18608426310,16789322347,60387689304,34795951491,29992101470,2638148826,2263953083,1532413177,,,,120060973561.35,103954599431.53,101090751267.097,99987924752.3331,102750460709.381,105694249704.323,209164338102.98,161421328931.766,157479093702.572,177868606887.538,183905232785.844,193913441978.237,68262397501.8305,60621193744.4509,56097067791.3911,65482307941.9081,69689828431.6056,67599133578.6574,77746369259.9809,68068894197.5184,68035412922.3313,71283558793.2769,67487248850.6936,70119251674.941,72433186980.4105,1420,1429,1348.36065574,6.363,5.779,0.139,580.739,598.1,633.8,12.2,12.2,12.2,,,408,272,9.66,9.14,4.18,5.5,37.1160011292,36.8310012817,37.1839981079,37.2369995117,1708,1705,1585,1540,1540,1532,1462,1420,1429,1348,1306,14866.8942361,2110.8518083877,187,264,10477.29,4986.65,17.14,67.86,15,85,854.71,3383.94,4238.6542
Angola,AGO,26920466,27859305,28813463,32.1563888733,23.5722801449,18.5745399188,1921699719.14449,9282167512.38257,4104422619.76545,4.7039706168,2.9997474931,-0.8134940955,7.279561541,10.27932672,34.7361593,17.4316825203,48.0163706219,33.4483829778,30.0170371249,126730196125.425,102621215573.456,95337203468.1156,100861846285.433,103887446990.918,103042328743.665,42.2455985509,36.8784513038,29.4171677152,7.4612835886,36.1804058567,28753499329,16757790049,,32,42,40.5206069946,48.2795515276,,,545.0404907552,,,34763.16,,,,,,57336235615,31894838590,,58672369190,33047778909,,1559735547,217257851,,,,,100015431973.177,96344182567.6512,86716441622.2749,77683576846.2848,100385444877.007,109390424022.686,117880292679.528,96713676273.7515,90077744958.6512,96096415941.6746,102327939591.249,100846717648.231,53537929897.9476,37845115012.6561,28045505039.2101,53194617842.4266,57982117132.522,63200497185.7699,73905459073.2271,78210122046.5981,74434627139.9992,75516736086.6081,54989818241.3334,87022825584.3224,103223277005.568,1741.61643836,1801.8630137,1769.6147541,0,0,0,1632.16,1745.524,1681.354,9.06,9.011,8.423,,,34,20,4.52,3.89,4,5.02,72.1579971313,72.0999984741,71.6760025024,71.2900009155,1724,1951,1877,1909,1756,1787,1803,1742,1802,1770,1666,18060.18583991,6047.7228424952,157,206,10629.74,948.96,9.23,82.99,7.78,92.22,87.59,787.54,875.126301
Australia,AUS,23504138,23850784,24210809,26.3090809738,26.789560159,26.96263687,45978797620.4125,37419460118.1951,42579991135.3497,2.5583375229,2.3511364407,2.827310511,2.487922705,1.508366722,1.276990945,1.757760124,21.0757650197,20.0129640731,19.2530266256,1464955475993.76,1349034029453.37,1208039015868.39,1282061484148.13,1312204498894.69,1349304594617.26,21.5040832799,21.5344232529,21.5184465692,0.0303399731,21.5189843673,227544000000,200114000000,189406000000,100,100,100,93.3868356554,93.3790386196,,5328.2239918775,5475.817650271,,361261.839,,,,,,12191980948,6133119219,5166814225,240444683866,187792151470,189629974559,35888282937,21492217102,17318813276,,,,1080810612319.84,1016876612030.95,929826029989.809,943470966266.636,965967520114.166,996220807115.949,1426554668135.5,1321203095099.43,1180872033774.93,1248779499188.8,1286526178915.69,1321038984262.66,315025245570.55,290506697728.596,259951230164.507,287239984869.842,289783681426.341,289393901864.8,821564307353.346,773338880106.498,704665890231.475,766523025897.106,718768931252.174,735960714733.871,756493174323.944,353.356164384,322.326027397,289.74863388,440.888,385.178,302.855,224.109,230.267,215.925,1.43325,1.193,1.193,,,4476,3608,27.82,28.17,7.44,6.73,60.8349990845,61.1069984436,61.1809997559,61.1829986572,449,459,464,479,411,405,335,353,322,290,263,3781.316632982,43186.4731276539,4330,4158,11803.86,2296.36,45.16,46.7,8.14,91.86,1037.03,1072.4,2109.4335402
China,CHN,1364270000,1371220000,1378665000,16.2283585482,16.4252218844,,268097181064.335,242489331627.399,174749584584.051,7.2976659594,6.9002048167,6.7,2.000344887,1.437024514,2,1.812456467,23.495058268,21.3480716059,19.6583775707,10482372109961.9,11064666282625.5,11190992550229.5,8333286913499.17,8908300778495.9,9505156930655.12,21.3815020071,18.1049939187,17.3754391071,3.2765080885,18.9539783443,1959230000000,1679560000000,1587920000000,99.9984893799,100,100,87.4807626594,,,2236.7299075696,,,10291926.878,,,1.4,,,28341699101,22440314570,21775305258,2342292696320,2273468224113,2097637171895,263972818377,161214907246,139018487844,25781380620,54083180270.974,21029141435.934,5344151670084.97,5817206169409.88,6018663507714.65,4046660506714.93,4366724987505.47,4736788403261.13,10495671705798.1,11022876224212,11154193694032.7,8344092046229.57,8874930049636.35,9473984493614.96,2241288603086.24,2003257157591.33,1944484096049.36,,,,3947972254777.48,4271057368125.25,4416330141265.71,4211786588056.15,2442867329960.6,2478064747517.4,2527696624938.14,4208.25479452,4277.69315068,3980.65027322,6192.826,6737.234,7620.76,12.049,57.556,58.812,24.3756,24.648842,25.132122,,,1132,1601,41.38,41.38,31.95,32.15,66.8219985962,66.5210037231,66.1409988403,65.7089996338,3736,3790,3796,4078,4052,4074,4164,4208,4278,3981,3838,40259.1772423,13545.6785683679,1432,2048,764964.13,207317.67,11.87,79.96,8.17,91.83,24608.61,165771.21,190379.8191159
Congo Rep,COG,4871101,4995648,5125821,,,,2887256932.11379,4276601045.98158,2006000000,6.7799161577,2.6464858769,-2.8000187877,0.077160494,4.514036066,,2.29559828,72.9867503393,69.2755673872,57.0842791747,14177437982.2619,8553154580.39951,7833508878.9666,14238097603.1698,14614906845.3719,14205686707.8991,70.2526329125,96.3702955606,79.4347016954,26.1176626482,82.0192100562,3347657927,,,51.8623924255,60.4,56.5661697388,40.4806033835,,,539.5316171847,,,3094.948,,,,,,,,,6550001990,,,95630549,,,8487316.794,52192896.901,115364222.652,7934526662.82374,7374685412.70218,5635756807.41008,6006276122.47744,6092665031.38516,5536493154.37669,11738937936.7535,8465696564.11917,7373144249.9446,14671321052.616,19317406141.4996,17714647111.4776,9960023462.07134,8242700348.88862,6222524410.2864,7779202074.77397,7312448312.0023,6741789459.14485,5972864900.94354,5823408422.8662,4422717932.06232,5406330418.62402,3728185040.52557,4004030117.87591,4454722168.56681,233.282484932,238.4784,197.996325137,0,0,0.003,226.364,221.364,194.693,1.6,1.6,1.6,,,594,560,2.42,2.42,3.55,4.25,62.8559989929,62.7890014648,62.4739990234,62.0449981689,207,233,268,340,288,260,239,233,238,198,244,2541.998180366,1504.0419828456,107,137,1805.87,455.04,5.69,88.04,6.27,93.73,25.89,400.62,426.5118039
Cote d'Ivoire,CIV,22531350,23108472,23695919,12.7293037157,18.5980561186,17.8271704566,438772570.981003,494209964.321162,577479244.096434,8.7940773903,8.8428654417,8.3421130965,0.45303046,1.237443262,0.726187589,0.8055537703,36.6588334015,35.4063796973,29.3589981473,35372603446.2605,33145096414.0731,36374849865.0472,31203899801.8261,33963218673.8589,36796468786.8278,25.7087178783,25.8427483497,20.1608114933,5.6819368564,23.9040925738,11177660087,9532205632,,61.9,64.0861968994,64.3,26.4923300238,,,615.8033140491,,,11045.004,,,,28.2,,2476223184,1888274317,,12985053430,11844759208,,2765096879,2019463329,,58082471.13,49079274.899,324422739.572,26655505826.5217,25331172192.1516,27760585357.6248,23477769573.7611,26415245162.4573,28813935294.8731,34463016583.0448,32137823071.7185,35328564439.946,30436527253.9307,32950660332.7648,35733534049.4346,9093842826.22616,8565603856.56292,7333464912.2807,10624909796.6251,12315634710.5503,12519113289.6066,22293534417.5312,21373403247.6319,23581152159.2443,22416029941.4691,20129582694.3817,22893634515.3039,25114539531.8828,36,29,49,65.45,61.576,50.024,17.736,26.723,35.965,0.1,0.1,0.1,,,185,93,14.99,14.99,13.59,10.22,56.7929992676,56.3380012512,55.8769989014,55.8250007629,52,59,58,44,40,38,37,36,29,49,54,443.319505951,8432.7230263958,168,153,7459.44,419.27,6.37,87.84,5.79,94.21,26.71,368.29,394.9952091
Cyprus,CYP,1152309,1160985,1170125,47.1319273653,38.7605681434,36.6071869631,-754354504.948983,8106710245.6904,2607132723.0662,-1.4037677718,1.9790635904,3.3967877024,-1.354988854,-2.096997691,-1.429166667,-1.6270510707,62.0564697062,64.5242926389,64.7101119155,23359294148.8656,19676167239.6584,20153871681.4159,23056625341.706,23512930619.0275,24311614954.7601,60.0082926746,63.7211137414,65.4867693794,3.7128210668,63.0720585985,6828600812,5699349689,6604059335,100,100,100,92.906215026,,,1712.124091715,,,6061.551,,,0,0,,94590552,320553793,385315774,1923547446,1934875215,1920371402,1635201099,1207832885,1146818265,,,,19997744460.6607,16720416990.1298,16927986725.6637,19466873616.8974,19758280423.4183,20275770968.263,22504763699.0845,19801732505.2678,19840879756.6372,22215426195.4271,23665679700.1167,23937849841.3972,14017513599.5754,12537872906.7317,13198119469.0265,13563759174.3182,14573809480.8098,15559502124.3738,,13671287567.9273,13908628318.5841,14604388396.6493,15430969264.0075,15834245942.3375,16363537250.9935,0,0,0,0.015,0.001,0.004,0,0,0,0,0,0,,,512,649,15.01,22.71,5.24,4.26,53.0760002136,53.2929992676,54.7260017395,55.8540000916,0,0,0,0,0,0,0,0,0,0,0,0,11731.3382358229,1202,843,514.18,83.43,36.11,47.1,16.8,83.21,30.13,39.29,69.4196067
Ecuador,ECU,15903112,16144368,16385068,,,,772256946.091118,1322477337.30748,755392868.12224,3.7888685492,0.0988726083,-1.576379183,3.57312785,3.970219159,1.724430236,3.0892590817,28.0518541458,21.258221378,19.6799110779,101726331000,99290381000,98613972000,86333447251.9654,86418807383.1387,85056519293.3115,29.6563148434,23.9856557706,19.1498634697,5.6706590728,24.2639446946,27518177870,21387292074,16188692759,98.976067,98.825883,99.9368133545,86.8846603647,,,891.6886204411,,,43919.659,,,2.6,3.4,3.6,13274087262,6659222270,5457937864,25724432491,18330607692,16797664624,5836303364,3735077270,2334371717,,,,74555251000,75319038000,73283594000,63712596927.4855,63927450848.2345,61845925462.3885,100174373400,97556311700,96763074800,84993665647.1024,84938595834.929,83489146162.8115,30168281000,23815449000,18884441000,26397962720.6252,24244736343.0513,21752513463.0753,60012296000,60991910000,59110843000,60038349666.6667,50814531811.1631,50767837554.8227,48923109581.1587,556.358057534,543.09350137,548.420765027,0,0,0,432.61,440.598,414.675,8.24,8.832,8.273,,,249,223,10.56,10.27,13.4,11.9,61.9049987793,64.1529998779,65.3629989624,65.6309967041,511,505,486,486,500,504,526,556,543,548,531,5184.847897132,7093.2633855704,624,635,7351.5,1445.27,14.76,61.88,23.36,76.64,213.32,894.33,1107.6541616
Egypt,EGY,91812566,93778172,95688681,32.920629108,30.2303694914,,4612200000,6925200000,8106800000,2.9159118799,4.3720190779,4.3466434556,10.14580055,10.35748965,13.81463839,11.43930953,14.2441314554,13.1838454929,10.3454639404,305529656458.438,332698041030.807,332927833278.038,239481619965.763,249951802078.734,260816315725.829,22.676056338,21.6620974672,19.6759430132,1.9861544539,21.3380322728,71337744441,74361266947,58052631649,99.8,100,100,95.9698231146,,,814.9880594776,,,201894.019,,,,1.3,,5728795658,3648696307,2892379032,26812195958,21967323008,22507388693,8635279474,9030071270,4804735158,413173324.2,978134653.324,129191744.039,289607688445.815,313367003825.367,313500694265.246,226896910026.783,235015939708.337,245587025333.985,298266956465.61,326997141034.891,328456133278.038,233615930784.973,245499755199.766,257125150462.716,69282077027.8993,72069373919.4359,65506690750.9124,70083471980.8649,70510810224.6506,69177514904.039,253403141361.257,274242073594.075,275457416350.254,267700877101.862,197888912194.03,203995756967.539,213468151749.561,645.112328767,652.01369863,615.734972678,91.65,68.052,70.411,241.887,257.968,240.295,4.4,4.4,4.4,,,200,164,23.84,14.2,16.07,16.29,42.3370018005,41.7089996338,41.9090003967,42.1969985962,608,633,649,636,637,642,645,645,652,616,589,6344.734912792,6247.2082141496,421,437,26152.55,6559.9,33.93,55.78,10.29,89.71,2225.77,3659.11,5884.88629
Gabon,GAB,1875713,1930175,1979786,,,,1011296178.31174,623890438.752219,703194560.613,4.3139953248,3.8792575952,2.0823803163,4.655607891,-0.298498343,2.106707128,2.1546055587,44.5211008745,45.936379138,44.1279811325,18179666879.0389,14377389785.603,14014278017.4685,17834813005.5734,18526671343.6802,18912467101.0138,28.9995724186,27.9179161522,27.0353524415,1.0816562664,27.9842803374,,,,89.2199401855,90.307472229,91.3955001831,24.2011188198,,,2705.8233322475,,,5192.472,,,,,,,,,,,,,,,48504019.73,114790624.098,9279416.43,8969797947.06876,7584079452.26093,7711512210.17539,8289074824.85025,8320147394.36322,8345438673.82357,17233209908.4777,13183481142.5151,12926004440.0638,17518817386.438,17500141255.1154,18104034728.0721,5272025662.04504,4013867625.21568,3788809454.14871,3691575259.87088,3346815544.08722,3129993769.05526,6270201285.15518,5440151119.9181,5667362833.1418,5792571746.07169,5719456461.07782,5953954175.77862,5983723406.27197,220,213.328767123,210.819672131,0,0,0,216.721,216.601,205.218,2,2,2,,,648,648,5.39,5.39,4.79,4.86,40.3499984741,40.7070007324,41.013999939,41.3219985962,244,248,242,246,241,230,220,220,213,211,199,2270.493270454,14252.6337197478,400,472,504.73,63.92,8.74,83.22,8.04,91.96,5.59,53.2,58.7817516
